"","Raw.data","Trace.for.Mass.","X198Hg","X199Hg","X200Hg","X201Hg","X202Hg","X203Tl","X205Tl","X199Hg_corr","X200Hg_corr","X201Hg_corr","X202Hg_corr"
"6",1,0,3.49335168721154e-05,0.000160441573825664,0.000250872544711455,0.000119298005301971,8.23257578304037e-05,0.723059475421905,1.7565973997116,NA,NA,NA,NA
"7",2,0.132999897003173,1.87850582733517e-05,0.000137060385895893,3.0091108783381e-05,2.79047362710116e-05,0.000399989308789372,0.722007155418396,1.753258228302,0.000136539646364436,2.6629330434685e-05,2.58070835029703e-05,0.00040441218640763
"8",3,0.266999959945678,5.96316640439909e-05,4.91521277581341e-05,-5.91151547268964e-06,2.97890474030282e-05,0.000326016801409423,0.723865032196044,1.75942349433898,4.72088720483698e-05,-6.47181101077898e-06,2.98319731937388e-05,0.000324994558331639
"9",4,0.399999856948852,0.00013752983068116,0.000179146911250427,4.99878551636356e-05,-8.13792139524594e-05,7.85333686508238e-05,0.719101727008819,1.74595093727111,0.00018204212011881,5.08643384157764e-05,-8.39307411450328e-05,7.50876194223292e-05
"10",5,0.532999992370605,1.78351565409684e-05,1.64223383762873e-05,3.67233151337131e-05,4.86323660879861e-05,0.000133524372358806,0.718415856361389,1.74423336982727,1.27981869350466e-05,3.65153319988409e-05,5.16163786390124e-05,0.000134290019039935
"11",6,0.665999889373779,8.81302912603132e-05,0.000100586854387074,9.92577042779885e-05,0.000172064974321983,0.000143005876452662,0.72319346666336,1.75712490081787,0.000102461343859738,0.000100238222379425,0.000174897992060312,0.000143137888866795
"12",7,0.799999952316284,-7.81183371145743e-06,8.09478224255144e-05,2.63012989307753e-05,4.6748016757192e-05,0.0003734344500117,0.735407292842865,1.7881098985672,8.05136918693869e-05,2.51659053522311e-05,4.38932177797247e-05,0.000376618795420388
"13",8,0.932999849319458,-0.000117041628982406,1.82925832632463e-05,8.3149985584896e-05,5.80541600356809e-05,0.000233084763749502,0.739380240440368,1.79724013805389,1.68971426217071e-05,8.40413537915742e-05,5.83136579505214e-05,0.000231130653861148
"14",9,1.06699991226196,-0.0001217904718942,5.10224344907328e-05,4.90403836010955e-05,-2.20282254304038e-05,0.000161021001986227,0.744418561458587,1.80948686599731,5.17459441088836e-05,4.85095484691452e-05,-2.38525524535325e-05,0.000160025136302734
"15",10,1.20000004768371,-8.76170906849438e-06,0.000154830035171471,0.000123893536510877,-2.29703309742035e-05,0.000137316965265199,0.740193665027618,1.79744601249694,0.000157142006000301,0.000125067206563674,-2.29919540847465e-05,0.000136986930971932
"16",11,1.33299994468689,3.96831128455232e-05,0.000254907208727672,0.000217704815440811,-5.6885586673161e-05,0.000253946316661313,0.731237053871154,1.77543067932128,0.000257136100631013,0.000219175744610639,-5.76640075650939e-05,0.000255570164743237
"17",12,1.46599984169006,9.66800362220965e-05,0.000146412785397842,0.000236657666391693,0.000142854347359389,0.000265325506916269,0.731943666934967,1.77807807922363,0.00014399642677055,0.000236954840693473,0.000147438766211611,0.000265483941101559
"18",13,1.59899997711181,6.72312162350863e-05,0.000229653131100349,0.000380711106117814,-7.8965103966766e-06,0.000204637923161499,0.729100108146667,1.76997375488281,0.000231507034377025,0.000382969811351149,-1.13565287387516e-05,0.000203792962277818
"19",14,1.73300004005432,0.000107129824755247,0.000209076213650405,0.000125788632431067,-3.61597376468125e-05,1.78571717697195e-05,0.725675106048584,1.76191258430481,0.000208621350669713,0.000121821368168621,-3.6803591709515e-05,1.52760056454875e-05
"20",15,1.86599993705749,2.63686069956747e-06,8.37533734738826e-05,4.43030294263735e-05,-7.85530573921278e-05,0.000194207619642838,0.733943045139312,1.78333377838134,8.09622168709603e-05,4.30253626921831e-05,-7.95260662958808e-05,0.000196662973574736
"21",16,1.99899983406066,8.14805389381945e-05,7.15960413799621e-05,3.19860191666521e-05,0.000225777112063951,0.000166710058692842,0.728452324867248,1.76915574073791,7.13252765481081e-05,3.1792892605723e-05,0.000232762079656496,0.000166327205996915
"22",17,2.13199996948242,1.49854586197761e-05,-9.11107126739807e-05,0.00010210026812274,-3.61597376468125e-05,7.75852749939076e-05,0.722929298877716,1.75578141212463,-9.47344672599598e-05,0.000103199633895258,-4.21716855584524e-05,7.63443793883678e-05
"23",18,2.26600003242492,-1.06614579635788e-05,0.000250230485107749,0.000121050914458464,-2.48545438807923e-05,1.40650317916879e-05,0.721575915813446,1.75295829772949,0.000257776001827324,0.000121345836364998,-2.45970044684856e-05,1.31872309544236e-05
"24",19,2.3989999294281,4.53826578450389e-05,0.000260519329458475,0.000170324274222366,-5.97118087171111e-05,0.000183777417987585,0.722475886344909,1.75512170791626,0.000260748479833662,0.000171096863861894,-6.05118505456344e-05,0.000186140349183755
"25",20,2.53199982643127,-2.39595992752583e-05,-9.76070714386878e-06,6.32525770924985e-05,5.82614575250772e-07,0.000228343575145117,0.720796108245849,1.75049412250518,-1.57803114533317e-05,6.15737290438651e-05,1.96648852196158e-06,0.000228964076485069
"26",21,2.66499996185302,8.71803204063326e-05,0.000159506307682022,0.000181695402716286,0.000186199467862024,8.89624643605202e-05,0.722110152244567,1.75367259979248,0.000163276170370248,0.000183552542890072,0.000190459726984461,8.70218435736902e-05
"27",22,2.7979998588562,6.43813764327205e-05,0.000107133288111072,0.000166533936862833,0.000201276474399492,0.000202741503017023,0.729982018470764,1.77372872829437,0.00010596685029986,0.00016629621019888,0.00020162252093916,0.000204325665763997
"28",23,2.9319999217987,-6.95518829161301e-05,0.000304481916828081,6.98849980835802e-05,-3.80439232685603e-05,0.000175243709236383,0.735664665699005,1.78685581684112,0.000308844406288031,6.8380886361781e-05,-4.34957921921783e-05,0.000174863710905351
"29",24,3.06499981880188,-3.63077160727698e-05,3.04492568830028e-05,0.000240448280237615,-0.000118118521641008,0.000208430792554281,0.732702314853668,1.77934753894805,2.43460751553571e-05,0.000243122654895798,-0.000119956388966542,0.000208892861329811
"30",25,3.19799995422363,-2.68091789621394e-05,8.46885595819912e-05,3.0091108783381e-05,5.05167154187802e-05,0.000263428955804556,0.721214234828949,1.74996101856231,8.5896560583785e-05,2.67927852935949e-05,5.4387214214158e-05,0.000264194702168896
"31",26,3.3309998512268,3.58834331564139e-05,1.17467434392892e-05,1.6826832506922e-05,-2.29703309742035e-05,0.000143954035593196,0.722040593624115,1.75267612934112,1.01222029208244e-05,1.66188531347798e-05,-2.46570012062225e-05,0.000142290568226698
